"Date","Price","Open","High","Low","Change %"
"10-09-2024","6.746","6.795","6.795","6.746","-0.13%"
"09-09-2024","6.755","6.755","6.755","6.755","0.39%"
"06-09-2024","6.729","6.756","6.770","6.729","-0.15%"
"05-09-2024","6.739","6.767","6.767","6.739","-0.10%"
"04-09-2024","6.746","6.762","6.762","6.746","-0.19%"
"03-09-2024","6.759","6.743","6.783","6.743","0.46%"
"02-09-2024","6.728","6.744","6.747","6.728","-0.22%"
"30-08-2024","6.743","6.753","6.753","6.732","0.30%"
"29-08-2024","6.723","6.782","6.782","6.723","-0.28%"
"28-08-2024","6.742","6.766","6.766","6.742","0.18%"
"27-08-2024","6.730","6.734","6.765","6.730","0.03%"
"26-08-2024","6.728","6.760","6.760","6.728","0.00%"
"23-08-2024","6.728","6.767","6.767","6.728","-0.24%"
"22-08-2024","6.744","6.752","6.752","6.744","-0.19%"
"21-08-2024","6.757","6.747","6.757","6.747","0.45%"
"20-08-2024","6.727","6.755","6.755","6.727","-0.49%"
"19-08-2024","6.760","6.788","6.788","6.760","-0.04%"
"16-08-2024","6.763","6.924","6.924","6.751","-0.07%"
"14-08-2024","6.768","6.781","6.781","6.768","0.43%"
"13-08-2024","6.739","6.809","6.809","6.739","-0.13%"
"12-08-2024","6.748","6.791","6.791","6.748","-0.34%"
"09-08-2024","6.771","6.811","6.811","6.749","0.65%"
"08-08-2024","6.727","6.871","6.871","6.727","0.15%"
"07-08-2024","6.717","6.841","6.841","6.717","-0.07%"
"06-08-2024","6.722","6.811","6.811","6.722","-0.03%"
"05-08-2024","6.724","6.794","6.794","6.724","-1.03%"
"02-08-2024","6.794","6.826","6.826","6.777","-0.29%"
"01-08-2024","6.814","6.835","6.835","6.814","-0.37%"
"31-07-2024","6.839","6.867","6.867","6.813","0.00%"
"30-07-2024","6.839","6.862","6.862","6.838","0.01%"
"29-07-2024","6.838","6.862","6.862","6.822","0.16%"
"26-07-2024","6.827","6.827","6.827","6.827","-0.09%"
